M,k,M_k,Linf,L50,L95
1.8,0.77,2.337662338,10.5,4,6
1.99,0.77,2.584415584,10.5,4,6
2.19,0.77,2.844155844,10.5,4,6
1.8,0.77,2.337662338,10.5,4,6
1.99,0.77,2.584415584,10.5,4,6
2.19,0.77,2.844155844,10.5,4,6
1.8,1.47,1.224489796,10.5,4,6
1.99,1.47,1.353741497,10.5,4,6
2.19,1.47,1.489795918,10.5,4,6
1.8,1.47,1.224489796,10.5,4,6
1.99,1.47,1.353741497,10.5,4,6
2.19,1.47,1.489795918,10.5,4,6
1.8,0.77,2.337662338,10.5,6,7.4
1.99,0.77,2.584415584,10.5,6,7.4
2.19,0.77,2.844155844,10.5,6,7.4
1.8,0.77,2.337662338,10.5,6,7.4
1.99,0.77,2.584415584,10.5,6,7.4
2.19,0.77,2.844155844,10.5,6,7.4
1.8,1.47,1.224489796,10.5,6,7.4
1.99,1.47,1.353741497,10.5,6,7.4
2.19,1.47,1.489795918,10.5,6,7.4
1.8,1.47,1.224489796,10.5,6,7.4
1.99,1.47,1.353741497,10.5,6,7.4
2.19,1.47,1.489795918,10.5,6,7.4
